# FACILITY: LCO
# DATE-OBS: 2023-09-12
wavelength flux
3.318119889641334339e+03 1.982754826545715255e-20
3.323288437421620074e+03 7.750580444335936588e-18
3.325011286681715319e+03 1.473182128906249970e-17
3.326734135941810564e+03 5.983855590820312205e-18
3.330179834462001509e+03 2.961448632812500030e-16
3.331902683722096754e+03 7.553927499999999722e-15
3.333625532982191999e+03 1.144210624999999916e-14
3.335348382242287244e+03 1.032416937500000000e-14
3.337071231502382489e+03 1.082866374999999886e-14
3.338794080762477734e+03 1.075672374999999951e-14
3.340516930022572978e+03 1.110085874999999972e-14
3.342239779282668223e+03 1.033379062500000012e-14
3.343962628542763923e+03 9.672479374999999070e-15
3.345685477802859168e+03 1.082045374999999867e-14
3.347408327062954413e+03 1.169148124999999861e-14
3.349131176323049658e+03 1.112149999999999898e-14
3.350854025583144903e+03 1.090969499999999908e-14
3.352576874843240148e+03 1.133698750000000010e-14
3.354299724103335393e+03 1.101300749999999991e-14
3.356022573363430638e+03 1.104678624999999888e-14
3.357745422623525883e+03 1.132787499999999990e-14
3.359468271883621583e+03 1.019583999999999964e-14
3.361191121143716828e+03 1.015335124999999899e-14
3.362913970403812073e+03 1.102367874999999874e-14
3.364636819663907318e+03 1.225364624999999972e-14
3.366359668924002563e+03 1.097669624999999936e-14
3.368082518184097808e+03 1.125399999999999867e-14
3.369805367444193053e+03 1.150361874999999998e-14
3.371528216704288297e+03 1.191676249999999876e-14
3.373251065964383997e+03 1.010039000000000003e-14
3.374973915224479242e+03 1.074530499999999958e-14
3.376696764484574487e+03 1.087674875000000011e-14
3.378419613744669732e+03 1.052229000000000004e-14
3.380142463004764977e+03 1.064360499999999874e-14
3.381865312264860222e+03 1.079603749999999907e-14
3.383588161524955467e+03 1.065170499999999980e-14
3.385311010785050712e+03 1.084523625000000017e-14
3.387033860045146412e+03 1.071442249999999981e-14
3.388756709305241657e+03 1.101621499999999988e-14
3.390479558565336902e+03 1.053824374999999916e-14
3.392202407825432147e+03 1.035449749999999939e-14
3.393925257085527392e+03 1.039058999999999989e-14
3.395648106345622637e+03 1.043003937499999949e-14
3.397370955605717882e+03 1.037546124999999897e-14
3.399093804865813127e+03 1.062244124999999889e-14
3.400816654125908826e+03 1.043836249999999903e-14
3.402539503386004071e+03 1.165185374999999873e-14
3.404262352646099316e+03 1.034651187499999904e-14
3.405985201906194561e+03 1.075863249999999980e-14
3.407708051166289806e+03 1.143515374999999977e-14
3.409430900426385051e+03 1.201234249999999863e-14
3.411153749686480296e+03 1.120593249999999900e-14
3.412876598946575541e+03 1.124827999999999983e-14
3.414599448206670786e+03 1.125413499999999961e-14
3.416322297466766486e+03 1.218782124999999909e-14
3.418045146726861731e+03 1.150299374999999891e-14
3.419767995986956976e+03 1.196057874999999864e-14
3.421490845247052221e+03 1.169240624999999931e-14
3.423213694507147466e+03 1.221012124999999948e-14
3.424936543767242711e+03 1.107273249999999912e-14
3.426659393027337956e+03 1.089966749999999953e-14
3.428382242287433201e+03 1.158822999999999937e-14
3.430105091547528900e+03 1.148387874999999939e-14
3.431827940807624145e+03 1.179973624999999941e-14
3.433550790067719390e+03 1.174759624999999932e-14
3.435273639327814635e+03 1.170789874999999943e-14
3.436996488587909880e+03 1.195115374999999947e-14
3.438719337848005125e+03 1.174932124999999956e-14
3.440442187108100370e+03 1.189299124999999978e-14
3.442165036368195615e+03 1.124086374999999873e-14
3.443887885628291315e+03 1.059754124999999961e-14
3.445610734888386560e+03 1.094544874999999904e-14
3.447333584148481805e+03 1.124783874999999881e-14
3.449056433408577050e+03 1.245709624999999872e-14
3.450779282668672295e+03 1.181764999999999906e-14
3.452502131928767540e+03 1.170824874999999952e-14
3.454224981188862785e+03 1.215415749999999993e-14
3.455947830448958030e+03 1.159701749999999971e-14
3.457670679709053729e+03 1.209531374999999983e-14
3.459393528969148974e+03 1.163101874999999965e-14
3.461116378229244219e+03 1.195064874999999889e-14
3.462839227489339464e+03 1.190037124999999952e-14
3.464562076749434709e+03 1.149573624999999921e-14
3.466284926009529954e+03 1.217561624999999873e-14
3.468007775269625199e+03 1.136349124999999936e-14
3.469730624529720444e+03 1.152978874999999938e-14
3.471453473789815689e+03 1.212760749999999953e-14
3.473176323049911389e+03 1.195919249999999894e-14
3.474899172310006634e+03 1.171387749999999901e-14
3.476622021570101879e+03 1.141443625000000004e-14
3.478344870830197124e+03 1.196571749999999957e-14
3.480067720090292369e+03 1.147923249999999971e-14
3.481790569350387614e+03 1.208574249999999860e-14
3.483513418610482859e+03 1.199846999999999872e-14
3.485236267870578104e+03 1.226998124999999962e-14
3.486959117130673803e+03 1.301177499999999872e-14
3.488681966390769048e+03 1.248245749999999858e-14
3.490404815650864293e+03 1.157243749999999962e-14
3.492127664910959538e+03 1.279161374999999972e-14
3.493850514171054783e+03 1.235745749999999911e-14
3.495573363431150028e+03 1.251217499999999983e-14
3.497296212691245273e+03 1.245909624999999994e-14
3.499019061951340518e+03 1.252844624999999859e-14
3.500741911211435763e+03 1.209743374999999995e-14
3.502464760471531463e+03 1.213968499999999918e-14
3.504187609731626708e+03 1.200500499999999913e-14
3.505910458991721953e+03 1.151069624999999896e-14
3.507633308251817198e+03 1.169676499999999868e-14
3.509356157511912443e+03 1.117799000000000003e-14
3.511079006772007688e+03 1.178468749999999986e-14
3.512801856032102933e+03 1.164353000000000009e-14
3.514524705292198632e+03 1.104522000000000004e-14
3.516247554552293877e+03 1.147862999999999933e-14
3.517970403812389122e+03 1.199947124999999989e-14
3.519693253072484367e+03 1.187211874999999956e-14
3.521416102332579612e+03 1.165347625000000007e-14
3.523138951592674857e+03 1.218509624999999903e-14
3.524861800852770102e+03 1.218161374999999967e-14
3.526584650112865347e+03 1.187346249999999902e-14
3.528307499372960592e+03 1.172401749999999882e-14
3.530030348633056292e+03 1.165810624999999952e-14
3.531753197893151537e+03 1.227921374999999873e-14
3.533476047153246782e+03 1.223991250000000008e-14
3.535198896413342027e+03 1.222426749999999901e-14
3.536921745673437272e+03 1.217452624999999934e-14
3.538644594933532517e+03 1.258814249999999982e-14
3.540367444193627762e+03 1.210832124999999928e-14
3.542090293453723007e+03 1.237732749999999996e-14
3.543813142713818706e+03 1.243000374999999975e-14
3.545535991973913951e+03 1.244419249999999952e-14
3.547258841234009196e+03 1.213781499999999980e-14
3.548981690494104441e+03 1.225770249999999992e-14
3.550704539754199686e+03 1.312047874999999920e-14
3.552427389014294931e+03 1.301241625000000002e-14
3.554150238274390176e+03 1.202184624999999939e-14
3.555873087534485421e+03 1.255290124999999910e-14
3.557595936794580666e+03 1.287128499999999868e-14
3.559318786054676366e+03 1.280441624999999980e-14
3.561041635314771611e+03 1.264530749999999924e-14
3.562764484574866856e+03 1.228150374999999980e-14
3.564487333834962101e+03 1.288201999999999865e-14
3.566210183095057346e+03 1.268508624999999870e-14
3.567933032355152591e+03 1.238768749999999960e-14
3.569655881615247836e+03 1.274243249999999862e-14
3.571378730875343535e+03 1.280212499999999895e-14
3.573101580135438780e+03 1.258535874999999929e-14
3.574824429395534025e+03 1.199818499999999954e-14
3.576547278655629270e+03 1.281693374999999912e-14
3.578270127915724515e+03 1.292423874999999899e-14
3.579992977175819760e+03 1.223771374999999993e-14
3.581715826435915005e+03 1.148600749999999951e-14
3.583438675696010250e+03 1.162620249999999902e-14
3.585161524956105495e+03 1.177438874999999866e-14
3.586884374216201195e+03 1.182596749999999883e-14
3.588607223476296440e+03 1.168946999999999941e-14
3.590330072736391685e+03 1.217793874999999868e-14
3.592052921996486930e+03 1.221799374999999889e-14
3.593775771256582175e+03 1.181602874999999908e-14
3.595498620516677420e+03 1.187648000000000006e-14
3.597221469776772665e+03 1.274814624999999859e-14
3.598944319036867910e+03 1.284293124999999960e-14
3.600667168296963609e+03 1.259950999999999951e-14
3.602390017557058854e+03 1.242610124999999870e-14
3.604112866817154099e+03 1.255960999999999978e-14
3.605835716077249344e+03 1.250781624999999888e-14
3.607558565337344589e+03 1.216712749999999982e-14
3.609281414597439834e+03 1.257127624999999933e-14
3.611004263857535079e+03 1.256072499999999941e-14
3.612727113117630324e+03 1.261240499999999870e-14
3.614449962377725569e+03 1.243951624999999894e-14
3.616172811637821269e+03 1.239521874999999893e-14
3.617895660897916514e+03 1.305260874999999915e-14
3.619618510158011759e+03 1.273898624999999905e-14
3.621341359418107004e+03 1.273691250000000007e-14
3.623064208678202249e+03 1.232427749999999962e-14
3.624787057938297494e+03 1.221057249999999870e-14
3.626509907198392739e+03 1.326689749999999994e-14
3.628232756458488439e+03 1.259276874999999994e-14
3.629955605718583683e+03 1.254183749999999995e-14
3.631678454978678928e+03 1.224516999999999856e-14
3.633401304238774173e+03 1.254530624999999863e-14
3.635124153498869418e+03 1.236336249999999935e-14
3.636847002758964663e+03 1.320879249999999936e-14
3.638569852019059908e+03 1.304885374999999994e-14
3.640292701279155153e+03 1.374790624999999967e-14
3.642015550539250398e+03 1.391808624999999961e-14
3.643738399799346098e+03 1.371652499999999977e-14
3.645461249059441343e+03 1.307978374999999904e-14
3.647184098319536588e+03 1.369140499999999908e-14
3.648906947579631833e+03 1.372338124999999914e-14
3.650629796839727078e+03 1.382699249999999982e-14
3.652352646099822323e+03 1.357393874999999849e-14
3.654075495359917568e+03 1.320814374999999941e-14
3.655798344620012813e+03 1.312203624999999962e-14
3.657521193880108513e+03 1.394855874999999904e-14
3.659244043140203758e+03 1.348770499999999934e-14
3.660966892400299002e+03 1.363645124999999913e-14
3.662689741660394247e+03 1.355517999999999951e-14
3.664412590920489492e+03 1.372410499999999979e-14
3.666135440180584737e+03 1.340746749999999978e-14
3.667858289440679982e+03 1.287686124999999973e-14
3.669581138700775227e+03 1.287455249999999889e-14
3.671303987960870472e+03 1.352323374999999878e-14
3.673026837220966172e+03 1.431087249999999853e-14
3.674749686481061417e+03 1.382389999999999967e-14
3.676472535741156662e+03 1.259081499999999986e-14
